Continent,GeoGroup,Country,Region,Survey Role,Send a phishing email,Target the company receptionist for sensitive information,Send emails threatening legal action,Impersonate an executive and spoof their email to send orders to employees,Involve external or unaware parties and trick them into aiding you,"Phish the CEO or other VIPs, making executives look bad or stupid",Point out the flaws in a colleague's work especially if they are friendly or important,Bribery,RAT (remote access Trojan) a 0n-work device (laptop/tablet/phone) or a device belonging to a family member,Using debt or other problems from OSINT (public info) to blackmail an employee,Threaten to harm an employee's family members,Compromise legal or confidential documents inside the company,DoS/DDoS the organization,Destroy production data/systems as part of an attack or test,Planting actual or fake illegal content on a machine to blackmail user,Job Role,ITorNOT,SecurityOrNot,RedOrNot
North America,North America,United States,Pennsylvania,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,Security but not Red team/Pentester,IT,Security,NotRed
North America,North America,Canada,Ontario,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,Red team/Pentester - tests other organizations,IT,Security,Red
North America,North America,United States,New Jersey,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,Security but not Red team/Pentester,IT,Security,NotRed
North America,North America,United States,Georgia,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,Red team/Pentester - tests other organizations,IT,Security,Red
North America,North America,United States,Virginia,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Security but not Red team/Pentester,IT,Security,NotRed
North America,North America,Canada,Ontario,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,Security but not Red team/Pentester,IT,Security,NotRed
North America,North America,United States,Kansas,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,IT but not Security,IT,NotSecurity,NotRed
North America,North America,United States,Virginia,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,Red team/Pentester - tests your own organization,IT,Security,Red
North America,North America,United States,Massachusetts,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,IT but not Security,IT,NotSecurity,NotRed
North America,North America,United States,Massachusetts,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,Other (Non IT),NotIT,NotSecurity,NotRed
North America,North America,United States,Massachusetts,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,Other (Non IT),NotIT,NotSecurity,NotRed
North America,North America,United States,Kentucky,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,Security but not Red team/Pentester,IT,Security,NotRed
North America,North America,United States,New Jersey,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,IT but not Security,IT,NotSecurity,NotRed
North America,North America,United States,New Jersey,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,Security but not Red team/Pentester,IT,Security,NotRed
North America,North America,United States,New Jersey,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Red team/Pentester - tests your own organization,IT,Security,Red
North America,North America,United States,Ohio,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,Security but not Red team/Pentester,IT,Security,NotRed
North America,North America,United States,New Hampshire,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Security but not Red team/Pentester,IT,Security,NotRed
Europe,Europe,Hungary,,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,Red team/Pentester - tests other organizations,IT,Security,Red
Africa,Middle East and Africa,South Africa,,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,Red team/Pentester - tests your own organization,IT,Security,Red
North America,North America,United States,Utah,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,Unknown,Unknown,,
North America,North America,United States,New Jersey,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,Other (Non IT),NotIT,NotSecurity,NotRed
North America,North America,United States,Virginia,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Security but not Red team/Pentester,IT,Security,NotRed
Europe,Europe,Romania,,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,Security but not Red team/Pentester,IT,Security,NotRed
North America,North America,United States,California,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,Red team/Pentester - tests your own organization,IT,Security,Red
North America,North America,United States,Illinois,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Red team/Pentester - tests your own organization,IT,Security,Red
